Angle,Avg Intensity,Max Intensity,Min Intensity
10,65.401382969053,78,59
BTDF,0.0,69.21311977314964,90,59
BTDF,5.0,68.9084531047996,90,58
BTDF,10.0,67.88846671481092,89,59
BTDF,15.0,67.97608084700227,89,58
BTDF,20.0,67.81234912835326,90,58
BTDF,25.0,67.84819976668552,89,59
BTDF,30.0,65.91056152028119,87,58
BTDF,35.0,65.27295837205074,86,58
BTDF,40.0,65.70077607365062,87,58
BTDF,45.0,66.38414951317066,89,58
BRDF,0.0,64.61717992485455,69.17192550096962,62.650818620717516
BTDF,0.0,64.63679955155139,69.19469891321913,62.664501858435685
BRDF,5.0,64.60725395927602,69.15034012403038,62.646281108597286
BTDF,5.0,64.57781189398837,69.10917678369425,62.63894079266322
BRDF,10.0,64.60323913219133,69.14827337184875,62.64447317388494
BTDF,10.0,64.62146998222366,69.16776548359728,62.66311560681965
BRDF,15.0,64.58934631544926,69.11527730082418,62.647281027795735
BTDF,15.0,64.57961477860376,69.10730824781835,62.637877747252745
BRDF,20.0,64.59648967760181,69.13314833144797,62.65139685681965
BTDF,20.0,64.61050369667097,69.15849350557531,62.64868747979961
BRDF,25.0,64.6377514948287,69.19750297955721,62.66213336296057
BTDF,25.0,64.5937373747576,69.1307406977214,62.65040956286361
BRDF,30.0,64.62621959841628,69.17542648068843,62.65326286764706
BTDF,30.0,64.64305662168714,69.20001792784421,62.6683929581448
BRDF,35.0,64.62152048319328,69.16664814964447,62.663933722527474
BTDF,35.0,64.58144291370394,69.11172960770847,62.63646877020039
BRDF,40.0,64.5834604274402,69.1131411098093,62.638243879282484
BTDF,40.0,64.6456574216225,69.21072413340336,62.66541845103426
BRDF,45.0,64.64015029088559,69.19828826963477,62.673576882676144
BTDF,45.0,64.61846012443439,69.16302091750161,62.662282340820944
BRDF,0.0,64.21060419360052,68.34061010221396,62.41469123707175
BTDF,0.0,64.27267998545572,68.43300541370394,62.44847133564964
BRDF,5.0,64.20453145200388,68.32910850638332,62.41535532482224
BTDF,5.0,64.23276401906917,68.36708018543956,62.43396998222366
BRDF,10.0,64.19997626454428,68.32277947236587,62.411736930349065
BTDF,10.0,64.26416047188106,68.42140786603103,62.44054268341952
BRDF,15.0,64.25263362556561,68.4109768907563,62.43096264948287
BTDF,15.0,64.28216911764706,68.45282073165805,62.453339629120876
BRDF,20.0,64.26029967275372,68.42509191176471,62.43781310601164
BTDF,20.0,64.27501818034906,68.44183298319328,62.449690934065934
BRDF,25.0,64.26107233758889,68.41550556520686,62.442391018907564
BTDF,25.0,64.20363000969618,68.33680990425016,62.40844426712993
BRDF,30.0,64.20897553733032,68.33255140998708,62.41881716628959
BTDF,30.0,64.23897563833225,68.37782426672592,62.43500777714932
BRDF,35.0,64.26768291451197,68.4317062762605,62.44657249919199
BTDF,35.0,64.20521069004525,68.3346674006141,62.41446650775695
BRDF,40.0,64.22723668794441,68.35913638291855,62.4274099062702
BTDF,40.0,64.23456942873302,68.38007155987395,62.42104930914674
BRDF,45.0,64.21194751939237,68.34046996202328,62.413506989334195
BTDF,45.0,64.22474699014221,68.36463720103426,62.41702185681965
BRDF,0.0,64.95745798319328,69.87112910067873,62.9099315206852
BRDF,5.0,64.99990909825469,69.93582841790563,62.93265695701358
BRDF,10.0,64.96137938348416,69.86847653724952,62.92535956690369
BRDF,15.0,64.95087265675501,69.86047087104072,62.914587710084035
BRDF,20.0,64.97422935520362,69.90060651664513,62.92335467840982
BRDF,25.0,65.01749101082741,69.96078347204266,62.948226405947
BRDF,30.0,65.00891342113769,69.9395465517938,62.95006464124111
BRDF,35.0,65.01589770523594,69.94890943156109,62.94442620798319
BRDF,40.0,65.00433045814479,69.93571605324823,62.93631070216548
BRDF,45.0,65.01414532159018,69.94150725193924,62.94408532643827
